entity_id;total_amount_of_triples;relative_amount_of_triples
19182;482;0.555%
19976;467;0.538%
27779;376;0.433%
18538;344;0.396%
26017;287;0.331%
19039;287;0.331%
39081;278;0.32%
37845;259;0.298%
512;251;0.289%
27822;234;0.269%
26018;234;0.269%
15521;230;0.265%
26011;222;0.256%
26000;217;0.25%
38563;214;0.246%
38038;198;0.228%
30443;195;0.225%
40796;187;0.215%
26016;172;0.198%
26951;164;0.189%
38547;152;0.175%
19276;148;0.17%
20510;145;0.167%
34477;143;0.165%
19383;143;0.165%
40782;141;0.162%
18290;128;0.147%
39066;124;0.143%
14322;115;0.132%
24114;114;0.131%
21407;109;0.126%
38982;106;0.122%
14001;104;0.12%
361;101;0.116%
18918;101;0.116%
14051;101;0.116%
505;99;0.114%
30432;97;0.112%
40077;95;0.109%
22038;86;0.099%
36945;82;0.094%
16109;82;0.094%
14006;80;0.092%
3690;79;0.091%
28643;78;0.09%
3947;77;0.089%
10961;76;0.088%
26015;75;0.086%
40633;75;0.086%
37277;73;0.084%
27320;73;0.084%
13886;73;0.084%
26020;71;0.082%
25952;71;0.082%
13937;70;0.081%
19478;69;0.079%
20891;69;0.079%
30540;68;0.078%
26004;68;0.078%
19690;67;0.077%
18246;67;0.077%
18794;66;0.076%
7204;66;0.076%
19550;65;0.075%
33959;64;0.074%
441;64;0.074%
18324;64;0.074%
26001;63;0.073%
7801;62;0.071%
15930;61;0.07%
35630;61;0.07%
8942;61;0.07%
20146;60;0.069%
26019;60;0.069%
39056;60;0.069%
20936;58;0.067%
12037;58;0.067%
25028;58;0.067%
15822;57;0.066%
31266;56;0.064%
21204;56;0.064%
5206;55;0.063%
19204;55;0.063%
27486;55;0.063%
34514;54;0.062%
40213;54;0.062%
32012;54;0.062%
26798;53;0.061%
14914;53;0.061%
31197;53;0.061%
21120;52;0.06%
13938;52;0.06%
29739;51;0.059%
17942;51;0.059%
21389;51;0.059%
5594;51;0.059%
26012;51;0.059%
13748;50;0.058%
338;50;0.058%
7567;50;0.058%
19417;50;0.058%
19811;49;0.056%
17683;49;0.056%
35576;48;0.055%
25997;47;0.054%
26214;47;0.054%
24033;47;0.054%
13752;47;0.054%
24593;47;0.054%
36564;47;0.054%
30429;46;0.053%
33208;46;0.053%
19747;46;0.053%
28433;46;0.053%
24071;46;0.053%
30036;45;0.052%
27892;45;0.052%
