original_kg;sampling_method;relation_names_rho;directory;sampling_time;subgraph_size_range;subgraph_size_rel;subgraph_num;subgraph_triples_amount;subgraph_entities_amount;subgraph_relation_names_amount;subgraph_relation_names
Debug;Entity sampling;11;data\Debug_Entity_sampling_N60_min0.6\sub_000;0.04;(0.6, 0.7);0.725;0;1449;50;11;[1, 0, 3, 2, 5, 7, 9, 4, 6, 8, 10]
Debug;Entity sampling;11;data\Debug_Entity_sampling_N60_min0.6\sub_001;0.014;(0.6, 0.7);0.715;1;1429;50;11;[0, 2, 1, 8, 3, 9, 7, 5, 4, 6, 10]
Debug;Entity sampling;11;data\Debug_Entity_sampling_N60_min0.6\sub_002;0.014;(0.6, 0.7);0.721;2;1442;50;11;[1, 0, 2, 9, 5, 3, 6, 7, 4, 8, 10]
Debug;Entity sampling;11;data\Debug_Entity_sampling_N60_min0.6\sub_003;0.014;(0.6, 0.7);0.711;3;1421;50;11;[3, 0, 2, 1, 4, 5, 7, 6, 9, 8, 10]
Debug;Entity sampling;11;data\Debug_Entity_sampling_N60_min0.6\sub_004;0.014;(0.6, 0.7);0.702;4;1403;50;11;[0, 1, 3, 2, 4, 6, 7, 8, 5, 9, 10]
Debug;Entity sampling;11;data\Debug_Entity_sampling_N60_min0.6\sub_005;0.015;(0.6, 0.7);0.728;5;1456;50;11;[0, 1, 2, 8, 4, 5, 3, 6, 9, 7, 10]
Debug;Entity sampling;11;data\Debug_Entity_sampling_N60_min0.6\sub_006;0.014;(0.6, 0.7);0.715;6;1430;50;11;[0, 1, 3, 4, 2, 5, 6, 8, 7, 9, 10]
Debug;Entity sampling;11;data\Debug_Entity_sampling_N60_min0.6\sub_007;0.015;(0.6, 0.7);0.739;7;1478;50;11;[0, 1, 3, 2, 4, 6, 7, 8, 5, 9, 10]
Debug;Entity sampling;11;data\Debug_Entity_sampling_N60_min0.6\sub_008;0.016;(0.6, 0.7);0.724;8;1448;50;11;[2, 8, 0, 1, 5, 6, 4, 3, 7, 10, 9]
Debug;Entity sampling;11;data\Debug_Entity_sampling_N60_min0.6\sub_009;0.017;(0.6, 0.7);0.726;9;1452;50;11;[5, 0, 4, 1, 2, 9, 3, 8, 7, 6, 10]
Debug;Entity sampling;11;data\Debug_Entity_sampling_N60_min0.6\sub_010;0.021;(0.6, 0.7);0.744;10;1488;50;11;[2, 8, 0, 1, 5, 6, 4, 3, 9, 7, 10]
