entity_id;total_amount_of_triples;relative_amount_of_triples
10416;7613;2.798%
10559;4286;1.575%
10191;3612;1.327%
7855;2992;1.1%
8686;2928;1.076%
4366;2675;0.983%
4409;2271;0.835%
9808;1953;0.718%
5050;1787;0.657%
4706;1776;0.653%
3997;1740;0.639%
11709;1491;0.548%
9791;1441;0.53%
3942;1388;0.51%
5625;1189;0.437%
3973;1077;0.396%
12011;982;0.361%
11524;877;0.322%
11880;873;0.321%
1372;864;0.318%
5635;861;0.316%
8519;845;0.311%
5434;811;0.298%
10717;807;0.297%
11337;802;0.295%
12970;792;0.291%
4471;738;0.271%
5474;738;0.271%
6544;724;0.266%
979;714;0.262%
4953;703;0.258%
7889;697;0.256%
10678;668;0.245%
11338;661;0.243%
1779;641;0.236%
8708;636;0.234%
5851;629;0.231%
13363;612;0.225%
8454;610;0.224%
4454;609;0.224%
8092;602;0.221%
10634;588;0.216%
10512;587;0.216%
6137;576;0.212%
6545;568;0.209%
12560;560;0.206%
10058;538;0.198%
9084;524;0.193%
11537;516;0.19%
4403;516;0.19%
13364;505;0.186%
12597;492;0.181%
387;491;0.18%
5190;471;0.173%
7810;468;0.172%
7467;464;0.171%
12571;464;0.171%
11974;458;0.168%
8495;457;0.168%
4383;455;0.167%
8502;449;0.165%
6275;446;0.164%
4553;443;0.163%
2122;442;0.162%
11273;441;0.162%
1698;431;0.158%
4510;430;0.158%
10823;429;0.158%
12579;429;0.158%
5179;425;0.156%
13007;421;0.155%
8099;421;0.155%
6552;420;0.154%
3689;416;0.153%
5925;416;0.153%
13209;415;0.153%
440;414;0.152%
8911;414;0.152%
477;411;0.151%
7594;411;0.151%
6136;411;0.151%
5714;406;0.149%
6176;406;0.149%
8901;405;0.149%
1047;401;0.147%
6837;400;0.147%
8136;396;0.146%
2683;394;0.145%
11465;394;0.145%
12562;391;0.144%
856;391;0.144%
12569;391;0.144%
11881;390;0.143%
8518;389;0.143%
308;389;0.143%
11244;383;0.141%
6507;382;0.14%
5057;381;0.14%
6938;381;0.14%
13836;381;0.14%
12572;376;0.138%
704;374;0.137%
4368;371;0.136%
10009;367;0.135%
8782;364;0.134%
12580;363;0.133%
7684;363;0.133%
11370;362;0.133%
702;360;0.132%
11364;351;0.129%
13890;348;0.128%
8794;341;0.125%
1096;340;0.125%
12576;339;0.125%
3152;338;0.124%
2774;333;0.122%
6890;330;0.121%
13206;329;0.121%
13244;324;0.119%
9214;322;0.118%
2290;321;0.118%
11523;321;0.118%
13425;320;0.118%
1555;317;0.116%
9107;316;0.116%
12770;316;0.116%
7322;314;0.115%
929;306;0.112%
13965;304;0.112%
2671;304;0.112%
9164;296;0.109%
3106;296;0.109%
7982;292;0.107%
13349;292;0.107%
11891;291;0.107%
2181;290;0.107%
734;289;0.106%
12595;283;0.104%
925;282;0.104%
7510;279;0.103%
6581;279;0.103%
13491;277;0.102%
13361;277;0.102%
2070;276;0.101%
9905;274;0.101%
1234;273;0.1%
1261;272;0.1%
9115;272;0.1%
8591;271;0.1%
14386;268;0.098%
11442;267;0.098%
4022;267;0.098%
4321;260;0.096%
11795;260;0.096%
2392;259;0.095%
523;259;0.095%
13628;257;0.094%
8891;257;0.094%
8348;257;0.094%
9220;256;0.094%
3765;255;0.094%
4669;250;0.092%
11436;246;0.09%
9138;245;0.09%
9119;245;0.09%
4771;244;0.09%
12910;243;0.089%
699;243;0.089%
4320;243;0.089%
406;242;0.089%
6125;242;0.089%
8056;241;0.089%
10304;238;0.087%
9112;238;0.087%
4523;237;0.087%
9536;235;0.086%
6543;235;0.086%
8960;235;0.086%
425;234;0.086%
11110;231;0.085%
1133;231;0.085%
4903;229;0.084%
11225;226;0.083%
4322;226;0.083%
