relation_name_id;total_amount_of_triples;relative_amount_of_triples
10;15989;5.876%
96;12893;4.738%
9;12157;4.468%
191;10945;4.022%
68;9494;3.489%
3;9465;3.478%
12;8423;3.095%
85;7268;2.671%
11;6277;2.307%
149;5880;2.161%
4;5673;2.085%
89;5305;1.95%
129;5201;1.911%
188;4197;1.542%
158;3795;1.395%
190;3738;1.374%
186;3717;1.366%
50;3612;1.327%
209;3500;1.286%
13;3310;1.216%
14;2992;1.1%
196;2909;1.069%
5;2834;1.041%
6;2727;1.002%
140;2671;0.982%
157;2655;0.976%
59;2640;0.97%
58;2622;0.964%
86;2570;0.944%
189;2465;0.906%
73;2407;0.885%
100;2337;0.859%
199;2265;0.832%
200;2262;0.831%
52;2257;0.829%
159;2226;0.818%
166;2130;0.783%
183;2063;0.758%
128;2051;0.754%
154;1938;0.712%
115;1908;0.701%
148;1772;0.651%
93;1568;0.576%
33;1511;0.555%
95;1429;0.525%
32;1404;0.516%
156;1327;0.488%
92;1285;0.472%
230;1272;0.467%
78;1210;0.445%
165;1153;0.424%
131;1151;0.423%
192;1085;0.399%
108;1070;0.393%
87;1039;0.382%
227;1006;0.37%
80;977;0.359%
105;966;0.355%
7;909;0.334%
70;859;0.316%
56;856;0.315%
171;852;0.313%
109;814;0.299%
176;797;0.293%
127;788;0.29%
99;787;0.289%
187;783;0.288%
106;760;0.279%
163;760;0.279%
177;756;0.278%
152;750;0.276%
144;747;0.275%
178;737;0.271%
47;734;0.27%
57;728;0.268%
173;721;0.265%
8;717;0.263%
180;695;0.255%
210;689;0.253%
203;688;0.253%
150;678;0.249%
201;676;0.248%
162;664;0.244%
79;662;0.243%
211;622;0.229%
22;610;0.224%
212;607;0.223%
102;603;0.222%
137;596;0.219%
234;581;0.214%
19;579;0.213%
0;573;0.211%
147;552;0.203%
198;536;0.197%
219;535;0.197%
55;533;0.196%
60;526;0.193%
155;497;0.183%
53;494;0.182%
161;490;0.18%
63;476;0.175%
39;475;0.175%
15;475;0.175%
124;463;0.17%
126;459;0.169%
168;456;0.168%
31;449;0.165%
202;437;0.161%
195;427;0.157%
145;424;0.156%
215;423;0.155%
184;417;0.153%
225;416;0.153%
236;411;0.151%
98;394;0.145%
118;386;0.142%
88;384;0.141%
167;381;0.14%
138;373;0.137%
218;363;0.133%
66;360;0.132%
28;352;0.129%
34;349;0.128%
83;345;0.127%
38;345;0.127%
61;343;0.126%
71;336;0.123%
117;335;0.123%
17;335;0.123%
216;331;0.122%
44;330;0.121%
185;316;0.116%
125;305;0.112%
222;305;0.112%
23;300;0.11%
122;298;0.11%
120;296;0.109%
74;285;0.105%
24;276;0.101%
232;271;0.1%
206;269;0.099%
226;268;0.098%
82;264;0.097%
54;260;0.096%
62;259;0.095%
164;256;0.094%
228;254;0.093%
194;251;0.092%
48;250;0.092%
40;246;0.09%
94;246;0.09%
49;236;0.087%
41;233;0.086%
224;225;0.083%
123;225;0.083%
132;220;0.081%
151;218;0.08%
146;218;0.08%
90;217;0.08%
113;215;0.079%
46;215;0.079%
37;208;0.076%
2;204;0.075%
45;198;0.073%
72;192;0.071%
29;192;0.071%
182;192;0.071%
170;191;0.07%
133;190;0.07%
97;187;0.069%
213;183;0.067%
172;182;0.067%
139;181;0.067%
43;181;0.067%
69;180;0.066%
91;180;0.066%
235;179;0.066%
77;179;0.066%
214;178;0.065%
136;172;0.063%
116;166;0.061%
142;162;0.06%
205;161;0.059%
134;160;0.059%
84;158;0.058%
75;157;0.058%
18;156;0.057%
16;154;0.057%
143;154;0.057%
30;153;0.056%
135;149;0.055%
1;148;0.054%
220;146;0.054%
229;144;0.053%
121;142;0.052%
36;142;0.052%
179;142;0.052%
119;141;0.052%
20;137;0.05%
25;137;0.05%
175;137;0.05%
130;133;0.049%
193;131;0.048%
64;131;0.048%
204;128;0.047%
27;125;0.046%
169;125;0.046%
208;125;0.046%
181;122;0.045%
231;121;0.044%
141;121;0.044%
114;121;0.044%
21;121;0.044%
65;117;0.043%
111;114;0.042%
76;114;0.042%
101;113;0.042%
67;112;0.041%
217;109;0.04%
26;108;0.04%
110;107;0.039%
112;106;0.039%
174;104;0.038%
223;103;0.038%
207;102;0.037%
197;102;0.037%
42;102;0.037%
160;101;0.037%
107;101;0.037%
81;101;0.037%
233;100;0.037%
35;100;0.037%
153;100;0.037%
51;99;0.036%
104;93;0.034%
221;90;0.033%
103;37;0.014%
total_triples;272115;100%
