entity_id;total_amount_of_triples;relative_amount_of_triples
819;9738;2.016%
565;7235;1.497%
984;6409;1.327%
12836;5545;1.148%
564;4670;0.967%
8872;4524;0.936%
3728;3933;0.814%
9625;3807;0.788%
9212;3754;0.777%
8404;3576;0.74%
2291;3111;0.644%
13784;3018;0.625%
8823;2924;0.605%
108;2908;0.602%
129;2696;0.558%
10277;1993;0.413%
2486;1748;0.362%
4536;1746;0.361%
1866;1616;0.334%
1164;1606;0.332%
9771;1591;0.329%
8374;1581;0.327%
8340;1486;0.308%
9507;1405;0.291%
13593;1383;0.286%
13810;1338;0.277%
1120;1315;0.272%
2637;1310;0.271%
5872;1265;0.262%
951;1254;0.26%
2077;1225;0.254%
8923;1223;0.253%
13518;1217;0.252%
928;1186;0.245%
1070;1177;0.244%
7686;1155;0.239%
10868;1150;0.238%
10289;1130;0.234%
12876;1121;0.232%
3261;1120;0.232%
48;1090;0.226%
8943;1049;0.217%
10107;1038;0.215%
8287;1024;0.212%
11335;999;0.207%
3303;980;0.203%
412;979;0.203%
8843;945;0.196%
3274;926;0.192%
12785;925;0.191%
2594;925;0.191%
1867;918;0.19%
9038;901;0.186%
11026;890;0.184%
5781;878;0.182%
8989;871;0.18%
1795;871;0.18%
4173;856;0.177%
9769;856;0.177%
3283;854;0.177%
10062;842;0.174%
14048;841;0.174%
13567;824;0.171%
12538;822;0.17%
836;813;0.168%
10536;809;0.167%
8866;807;0.167%
13105;791;0.164%
3263;790;0.164%
11674;789;0.163%
2487;786;0.163%
3272;777;0.161%
11336;777;0.161%
8825;776;0.161%
4707;766;0.159%
3275;759;0.157%
11875;725;0.15%
1904;721;0.149%
13585;715;0.148%
3284;714;0.148%
1392;709;0.147%
1897;702;0.145%
14401;698;0.144%
4174;696;0.144%
3279;696;0.144%
4038;692;0.143%
12392;691;0.143%
4767;689;0.143%
14026;688;0.142%
11853;684;0.142%
7001;673;0.139%
13910;673;0.139%
11735;670;0.139%
6263;665;0.138%
14253;656;0.136%
3994;655;0.136%
6452;654;0.135%
10618;651;0.135%
2092;647;0.134%
13113;642;0.133%
4243;639;0.132%
5617;639;0.132%
12229;624;0.129%
6571;623;0.129%
7378;609;0.126%
8049;606;0.125%
4851;602;0.125%
8773;599;0.124%
4157;592;0.123%
8772;589;0.122%
2499;583;0.121%
9782;583;0.121%
2390;582;0.12%
13575;577;0.119%
12208;575;0.119%
3300;570;0.118%
12443;565;0.117%
1284;563;0.117%
12980;562;0.116%
14374;559;0.116%
4318;559;0.116%
11345;551;0.114%
2980;543;0.112%
3291;542;0.112%
11294;536;0.111%
6900;534;0.111%
2012;528;0.109%
8886;527;0.109%
7342;527;0.109%
2076;524;0.108%
8434;523;0.108%
8774;522;0.108%
5328;518;0.107%
11791;516;0.107%
9308;515;0.107%
12547;515;0.107%
9633;514;0.106%
8138;511;0.106%
3770;511;0.106%
10867;509;0.105%
9170;508;0.105%
14037;505;0.105%
13155;505;0.105%
3997;504;0.104%
14284;504;0.104%
13399;504;0.104%
11819;495;0.102%
9293;491;0.102%
1978;484;0.1%
694;484;0.1%
10377;484;0.1%
13592;474;0.098%
9446;469;0.097%
9003;467;0.097%
10913;465;0.096%
12642;462;0.096%
10855;462;0.096%
1736;457;0.095%
7694;456;0.094%
3499;456;0.094%
14279;455;0.094%
9893;447;0.093%
3276;443;0.092%
13896;436;0.09%
11990;435;0.09%
1608;434;0.09%
14767;432;0.089%
6887;431;0.089%
10616;428;0.089%
14315;428;0.089%
13533;426;0.088%
9283;426;0.088%
13778;421;0.087%
1761;420;0.087%
9423;418;0.087%
9807;417;0.086%
13150;411;0.085%
2987;411;0.085%
11019;410;0.085%
14344;410;0.085%
13230;406;0.084%
7430;404;0.084%
1405;403;0.083%
4034;399;0.083%
1895;398;0.082%
14419;397;0.082%
2681;392;0.081%
8903;389;0.081%
1836;388;0.08%
14794;384;0.079%
1985;383;0.079%
3754;382;0.079%
9463;382;0.079%
8727;382;0.079%
12679;380;0.079%
9180;380;0.079%
10942;379;0.078%
10944;375;0.078%
12471;371;0.077%
13808;370;0.077%
358;368;0.076%
3282;368;0.076%
9526;366;0.076%
13787;365;0.076%
13513;364;0.075%
9978;363;0.075%
5632;363;0.075%
14788;362;0.075%
14289;360;0.075%
13153;359;0.074%
13183;357;0.074%
8905;357;0.074%
12981;355;0.073%
8497;354;0.073%
14515;354;0.073%
3660;352;0.073%
1360;351;0.073%
3526;351;0.073%
6204;350;0.072%
10004;348;0.072%
11377;348;0.072%
9046;347;0.072%
241;345;0.071%
14172;345;0.071%
141;343;0.071%
1071;341;0.071%
5341;339;0.07%
1713;339;0.07%
9830;339;0.07%
4171;338;0.07%
6381;338;0.07%
13409;336;0.07%
1564;336;0.07%
9465;335;0.069%
13676;333;0.069%
14831;329;0.068%
4613;328;0.068%
13655;328;0.068%
9732;326;0.067%
12628;326;0.067%
3614;326;0.067%
2659;324;0.067%
1739;324;0.067%
13261;323;0.067%
6330;321;0.066%
6207;320;0.066%
13385;320;0.066%
1595;318;0.066%
13147;318;0.066%
11212;317;0.066%
14108;317;0.066%
9968;317;0.066%
574;317;0.066%
3786;315;0.065%
4474;313;0.065%
10522;313;0.065%
4920;312;0.065%
1037;311;0.064%
13514;310;0.064%
8719;310;0.064%
13065;310;0.064%
14054;309;0.064%
976;308;0.064%
9480;308;0.064%
8426;308;0.064%
13059;307;0.064%
10650;304;0.063%
763;303;0.063%
1364;303;0.063%
1041;302;0.063%
1879;302;0.063%
11043;300;0.062%
7049;299;0.062%
8301;298;0.062%
10268;298;0.062%
14107;297;0.061%
14407;295;0.061%
5112;294;0.061%
13793;294;0.061%
13855;294;0.061%
6936;294;0.061%
10555;293;0.061%
14293;293;0.061%
321;292;0.06%
7664;292;0.06%
2101;292;0.06%
