relation_name_id;total_amount_of_triples;relative_amount_of_triples
1235;15998;3.311%
896;12893;2.669%
1223;12175;2.52%
1079;12166;2.518%
49;11636;2.408%
56;11547;2.39%
852;9494;1.965%
900;9466;1.959%
1090;9465;1.959%
1190;9439;1.954%
1290;8431;1.745%
930;7331;1.517%
881;7268;1.504%
1246;6278;1.299%
1201;6196;1.282%
886;6094;1.261%
932;6041;1.25%
1255;5952;1.232%
698;5945;1.23%
693;5927;1.227%
1245;5858;1.212%
1279;5694;1.179%
1112;5680;1.176%
1130;5204;1.077%
1129;5186;1.073%
44;4198;0.869%
1276;3795;0.785%
48;3740;0.774%
42;3721;0.77%
193;3500;0.724%
217;3472;0.719%
1135;3311;0.685%
1323;3310;0.685%
1312;3009;0.623%
1334;2997;0.62%
54;2909;0.602%
33;2882;0.597%
1124;2835;0.587%
1146;2785;0.576%
1301;2732;0.565%
1157;2728;0.565%
1175;2671;0.553%
1274;2655;0.55%
1176;2649;0.548%
781;2640;0.546%
777;2622;0.543%
786;2592;0.536%
37;2591;0.536%
883;2570;0.532%
1136;2485;0.514%
46;2468;0.511%
860;2407;0.498%
922;2337;0.484%
862;2331;0.482%
215;2320;0.48%
189;2269;0.47%
111;2265;0.469%
115;2262;0.468%
1247;2257;0.467%
763;2257;0.467%
776;2245;0.465%
1277;2226;0.461%
1302;2154;0.446%
1308;2130;0.441%
28;2073;0.429%
1128;2055;0.425%
41;2030;0.42%
1265;1938;0.401%
1260;1929;0.399%
1080;1908;0.395%
1078;1900;0.393%
1275;1797;0.372%
1250;1772;0.367%
893;1568;0.325%
948;1537;0.318%
474;1511;0.313%
895;1429;0.296%
471;1404;0.291%
1272;1327;0.275%
1269;1286;0.266%
892;1285;0.266%
306;1278;0.265%
945;1276;0.264%
278;1260;0.261%
870;1210;0.25%
243;1156;0.239%
1305;1153;0.239%
1139;1151;0.238%
1291;1138;0.236%
1049;1092;0.226%
50;1086;0.225%
1033;1070;0.221%
940;1061;0.22%
884;1039;0.215%
300;1010;0.209%
285;1004;0.208%
933;982;0.203%
872;978;0.202%
962;966;0.2%
3;928;0.192%
1168;909;0.188%
855;859;0.178%
770;856;0.177%
1322;852;0.176%
861;850;0.176%
1313;816;0.169%
1037;814;0.168%
952;807;0.167%
1342;798;0.165%
1121;789;0.163%
1120;788;0.163%
907;787;0.163%
1122;785;0.162%
43;783;0.162%
1125;782;0.162%
1126;775;0.16%
989;760;0.157%
1300;760;0.157%
1021;760;0.157%
18;756;0.156%
7;756;0.156%
1262;750;0.155%
1288;750;0.155%
1273;749;0.155%
19;748;0.155%
1221;747;0.155%
1329;738;0.153%
