entity_id;total_amount_of_triples;relative_amount_of_triples
466;7613;2.798%
624;4286;1.575%
216;3612;1.327%
12159;2992;1.1%
13082;2928;1.076%
8283;2675;0.983%
8331;2271;0.835%
14329;1953;0.718%
9044;1787;0.657%
8661;1776;0.653%
7872;1740;0.639%
1902;1491;0.548%
14310;1441;0.53%
7812;1388;0.51%
9682;1189;0.437%
7846;1077;0.396%
2239;982;0.361%
1697;877;0.322%
2092;873;0.321%
4136;864;0.318%
9693;861;0.316%
12897;845;0.311%
9470;811;0.298%
800;807;0.297%
1489;802;0.295%
3303;792;0.291%
8400;738;0.271%
9514;738;0.271%
10703;724;0.266%
14308;714;0.262%
8935;703;0.258%
12196;697;0.256%
756;668;0.245%
1490;661;0.243%
5408;641;0.236%
13107;636;0.234%
9933;629;0.231%
3740;612;0.225%
12825;610;0.224%
8381;609;0.224%
12423;602;0.221%
708;588;0.216%
573;587;0.216%
10251;576;0.212%
10704;568;0.209%
2848;560;0.206%
68;538;0.198%
13525;524;0.193%
1711;516;0.19%
8325;516;0.19%
3741;505;0.186%
2888;492;0.181%
7731;491;0.18%
9199;471;0.173%
12110;468;0.172%
11728;464;0.171%
2860;464;0.171%
2196;458;0.168%
12870;457;0.168%
8302;455;0.167%
12879;449;0.165%
10404;446;0.164%
8491;443;0.163%
5791;442;0.162%
1418;441;0.162%
5318;431;0.158%
8444;430;0.158%
918;429;0.158%
2868;429;0.158%
9186;425;0.156%
3345;421;0.155%
12430;421;0.155%
10712;420;0.154%
7530;416;0.153%
10015;416;0.153%
3569;415;0.153%
8321;414;0.152%
13333;414;0.152%
8731;411;0.151%
11869;411;0.151%
10250;411;0.151%
9781;406;0.149%
10294;406;0.149%
13322;405;0.149%
525;401;0.147%
11028;400;0.147%
12472;396;0.146%
6413;394;0.145%
1631;394;0.145%
2850;391;0.144%
12942;391;0.144%
2857;391;0.144%
2093;390;0.143%
12896;389;0.143%
6854;389;0.143%
1386;383;0.141%
10662;382;0.14%
9051;381;0.14%
11140;381;0.14%
4265;381;0.14%
2861;376;0.138%
11254;374;0.137%
8285;371;0.136%
14;367;0.135%
13189;364;0.134%
2870;363;0.133%
11969;363;0.133%
1526;362;0.133%
11232;360;0.132%
1519;351;0.129%
4325;348;0.128%
13202;341;0.125%
1069;340;0.125%
2865;339;0.125%
6935;338;0.124%
6514;333;0.122%
11087;330;0.121%
3566;329;0.121%
3608;324;0.119%
13670;322;0.118%
5977;321;0.118%
1696;321;0.118%
3809;320;0.118%
5160;317;0.116%
13551;316;0.116%
3081;316;0.116%
11568;314;0.115%
13753;306;0.112%
4408;304;0.112%
6400;304;0.112%
13614;296;0.109%
6884;296;0.109%
12300;292;0.107%
3724;292;0.107%
2104;291;0.107%
5856;290;0.107%
11587;289;0.106%
2886;283;0.104%
13709;282;0.104%
11777;279;0.103%
10744;279;0.103%
3882;277;0.102%
3738;277;0.102%
5733;276;0.101%
14437;274;0.101%
2603;273;0.1%
2903;272;0.1%
13560;272;0.1%
12977;271;0.1%
4876;268;0.098%
1606;267;0.098%
7902;267;0.098%
8234;260;0.096%
1997;260;0.096%
6090;259;0.095%
9243;259;0.095%
4034;257;0.094%
13310;257;0.094%
12707;257;0.094%
13677;256;0.094%
7615;255;0.094%
8619;250;0.092%
1599;246;0.09%
13585;245;0.09%
13564;245;0.09%
8733;244;0.09%
3237;243;0.089%
11197;243;0.089%
8233;243;0.089%
7943;242;0.089%
10238;242;0.089%
12383;241;0.089%
342;238;0.087%
13557;238;0.087%
8458;237;0.087%
14027;235;0.086%
10702;235;0.086%
13387;235;0.086%
8154;234;0.086%
1238;231;0.085%
1481;231;0.085%
8880;229;0.084%
1365;226;0.083%
8235;226;0.083%
13337;222;0.082%
11879;221;0.081%
8724;220;0.081%
9306;219;0.08%
