relation_name_id;total_amount_of_triples;relative_amount_of_triples
2;15989;5.876%
233;12893;4.738%
226;12157;4.468%
103;10945;4.022%
202;9494;3.489%
160;9465;3.478%
24;8423;3.095%
221;7268;2.671%
13;6277;2.307%
56;5880;2.161%
171;5673;2.085%
225;5305;1.95%
34;5201;1.911%
99;4197;1.542%
66;3795;1.395%
102;3738;1.374%
97;3717;1.366%
183;3612;1.327%
123;3500;1.286%
35;3310;1.216%
46;2992;1.1%
108;2909;1.069%
182;2834;1.041%
193;2727;1.002%
47;2671;0.982%
65;2655;0.976%
192;2640;0.97%
191;2622;0.964%
222;2570;0.944%
100;2465;0.906%
208;2407;0.885%
3;2337;0.859%
111;2265;0.832%
114;2262;0.831%
185;2257;0.829%
67;2226;0.818%
75;2130;0.783%
94;2063;0.758%
33;2051;0.754%
62;1938;0.712%
19;1908;0.701%
55;1772;0.651%
230;1568;0.576%
164;1511;0.555%
232;1429;0.525%
163;1404;0.516%
64;1327;0.488%
229;1285;0.472%
147;1272;0.467%
213;1210;0.445%
74;1153;0.424%
37;1151;0.423%
104;1085;0.399%
11;1070;0.393%
223;1039;0.382%
143;1006;0.37%
216;977;0.359%
8;966;0.355%
204;909;0.334%
205;859;0.316%
189;856;0.315%
81;852;0.313%
12;814;0.299%
86;797;0.293%
32;788;0.29%
236;787;0.289%
98;783;0.288%
9;760;0.279%
72;760;0.279%
87;756;0.278%
60;750;0.276%
51;747;0.275%
88;737;0.271%
179;734;0.27%
190;728;0.268%
83;721;0.265%
215;717;0.263%
91;695;0.255%
125;689;0.253%
117;688;0.253%
58;678;0.249%
115;676;0.248%
71;664;0.244%
214;662;0.243%
126;622;0.229%
135;610;0.224%
127;607;0.223%
5;603;0.222%
43;596;0.219%
151;581;0.214%
101;579;0.213%
0;573;0.211%
54;552;0.203%
110;536;0.197%
134;535;0.197%
188;533;0.196%
194;526;0.193%
63;497;0.183%
186;494;0.182%
70;490;0.18%
197;476;0.175%
170;475;0.175%
57;475;0.175%
29;463;0.17%
31;459;0.169%
77;456;0.168%
162;449;0.165%
116;437;0.161%
107;427;0.157%
52;424;0.156%
130;423;0.155%
95;417;0.153%
141;416;0.153%
153;411;0.151%
235;394;0.145%
22;386;0.142%
224;384;0.141%
76;381;0.14%
44;373;0.137%
133;363;0.133%
200;360;0.132%
158;352;0.129%
165;349;0.128%
219;345;0.127%
169;345;0.127%
195;343;0.126%
206;336;0.123%
21;335;0.123%
79;335;0.123%
131;331;0.122%
176;330;0.121%
96;316;0.116%
30;305;0.112%
138;305;0.112%
146;300;0.11%
27;298;0.11%
25;296;0.109%
209;285;0.105%
154;276;0.101%
149;271;0.1%
120;269;0.099%
142;268;0.098%
218;264;0.097%
187;260;0.096%
196;259;0.095%
73;256;0.094%
144;254;0.093%
106;251;0.092%
180;250;0.092%
172;246;0.09%
231;246;0.09%
181;236;0.087%
173;233;0.086%
140;225;0.083%
28;225;0.083%
38;220;0.081%
59;218;0.08%
53;218;0.08%
227;217;0.08%
17;215;0.079%
178;215;0.079%
168;208;0.076%
112;204;0.075%
177;198;0.073%
207;192;0.071%
159;192;0.071%
93;192;0.071%
80;191;0.07%
39;190;0.07%
234;187;0.069%
128;183;0.067%
82;182;0.067%
45;181;0.067%
175;181;0.067%
203;180;0.066%
228;180;0.066%
152;179;0.066%
212;179;0.066%
129;178;0.065%
42;172;0.063%
20;166;0.061%
49;162;0.06%
119;161;0.059%
40;160;0.059%
220;158;0.058%
210;157;0.058%
90;156;0.057%
68;154;0.057%
50;154;0.057%
161;153;0.056%
41;149;0.055%
1;148;0.054%
136;146;0.054%
145;144;0.053%
26;142;0.052%
167;142;0.052%
89;142;0.052%
23;141;0.052%
113;137;0.05%
155;137;0.05%
85;137;0.05%
36;133;0.049%
105;131;0.048%
198;131;0.048%
118;128;0.047%
157;125;0.046%
78;125;0.046%
122;125;0.046%
92;122;0.045%
148;121;0.044%
48;121;0.044%
18;121;0.044%
124;121;0.044%
199;117;0.043%
15;114;0.042%
211;114;0.042%
4;113;0.042%
201;112;0.041%
132;109;0.04%
156;108;0.04%
14;107;0.039%
16;106;0.039%
84;104;0.038%
139;103;0.038%
121;102;0.037%
109;102;0.037%
174;102;0.037%
69;101;0.037%
10;101;0.037%
217;101;0.037%
150;100;0.037%
166;100;0.037%
61;100;0.037%
184;99;0.036%
7;93;0.034%
137;90;0.033%
6;37;0.014%
total_triples;272115;100%
