entity_id;total_amount_of_triples;relative_amount_of_triples
2993;2082;4.138%
9225;1317;2.618%
9224;1162;2.309%
9226;1131;2.248%
11595;1129;2.244%
9223;1027;2.041%
9144;879;1.747%
9143;809;1.608%
19196;789;1.568%
9222;707;1.405%
9142;690;1.371%
9141;628;1.248%
11966;625;1.242%
16506;545;1.083%
8147;536;1.065%
14756;522;1.037%
9139;496;0.986%
21503;495;0.984%
2007;486;0.966%
21572;468;0.93%
11011;427;0.849%
9145;420;0.835%
5338;402;0.799%
22392;379;0.753%
3303;368;0.731%
2802;344;0.684%
22389;323;0.642%
11047;285;0.566%
21536;279;0.555%
3977;274;0.545%
651;272;0.541%
8112;272;0.541%
16935;264;0.525%
9138;259;0.515%
15432;235;0.467%
14618;226;0.449%
22388;223;0.443%
8101;219;0.435%
7230;218;0.433%
21555;212;0.421%
19308;211;0.419%
16601;208;0.413%
22394;202;0.401%
1954;196;0.39%
12172;191;0.38%
5627;186;0.37%
19243;175;0.348%
7509;174;0.346%
7094;174;0.346%
22387;172;0.342%
12159;168;0.334%
19315;165;0.328%
12028;165;0.328%
1203;163;0.324%
606;162;0.322%
16517;161;0.32%
19397;158;0.314%
9137;157;0.312%
20700;150;0.298%
19230;146;0.29%
4380;146;0.29%
17232;141;0.28%
295;140;0.278%
21627;139;0.276%
22386;139;0.276%
18685;137;0.272%
16491;134;0.266%
15356;131;0.26%
2610;129;0.256%
19416;127;0.252%
12023;126;0.25%
16661;126;0.25%
4100;126;0.25%
20710;124;0.246%
19247;123;0.244%
12006;120;0.239%
19343;120;0.239%
16802;120;0.239%
6579;119;0.237%
16270;117;0.233%
15529;117;0.233%
619;117;0.233%
12121;116;0.231%
22385;115;0.229%
878;113;0.225%
499;113;0.225%
21577;112;0.223%
1068;111;0.221%
19311;110;0.219%
18863;110;0.219%
6890;110;0.219%
318;109;0.217%
917;109;0.217%
2484;106;0.211%
9539;105;0.209%
8598;102;0.203%
15702;102;0.203%
21612;101;0.201%
12787;101;0.201%
11685;100;0.199%
15358;100;0.199%
19204;98;0.195%
18190;97;0.193%
4052;97;0.193%
19205;94;0.187%
4097;93;0.185%
15455;92;0.183%
10959;92;0.183%
16597;91;0.181%
9891;90;0.179%
3400;89;0.177%
2803;89;0.177%
19284;88;0.175%
10237;88;0.175%
4102;86;0.171%
8603;83;0.165%
19330;83;0.165%
11980;82;0.163%
9221;80;0.159%
13630;78;0.155%
19288;78;0.155%
607;78;0.155%
15399;77;0.153%
12192;76;0.151%
12205;75;0.149%
19389;75;0.149%
18179;75;0.149%
15468;74;0.147%
16431;72;0.143%
7617;72;0.143%
11404;72;0.143%
20677;72;0.143%
4064;71;0.141%
11981;70;0.139%
4009;69;0.137%
10510;69;0.137%
22384;69;0.137%
10524;68;0.135%
13207;68;0.135%
4212;68;0.135%
19276;67;0.133%
3087;67;0.133%
9213;67;0.133%
8977;67;0.133%
296;66;0.131%
20401;65;0.129%
11236;65;0.129%
20418;65;0.129%
4266;65;0.129%
1745;64;0.127%
12197;64;0.127%
22383;63;0.125%
19318;63;0.125%
723;63;0.125%
18277;63;0.125%
4031;62;0.123%
4329;62;0.123%
893;61;0.121%
431;60;0.119%
8452;60;0.119%
4139;60;0.119%
13601;60;0.119%
16361;60;0.119%
1124;60;0.119%
7480;59;0.117%
19428;59;0.117%
20615;59;0.117%
492;58;0.115%
1094;58;0.115%
7836;58;0.115%
15896;58;0.115%
20847;58;0.115%
747;58;0.115%
8408;57;0.113%
9122;57;0.113%
12239;56;0.111%
3899;56;0.111%
12183;55;0.109%
17687;55;0.109%
12962;55;0.109%
16857;55;0.109%
22134;54;0.107%
12180;54;0.107%
4390;54;0.107%
10471;54;0.107%
8547;54;0.107%
9121;54;0.107%
8877;54;0.107%
12636;54;0.107%
22382;53;0.105%
19291;53;0.105%
22151;53;0.105%
9220;53;0.105%
19277;53;0.105%
9120;53;0.105%
9850;53;0.105%
16577;52;0.103%
16241;52;0.103%
20382;52;0.103%
15733;52;0.103%
16401;52;0.103%
16618;50;0.099%
19336;50;0.099%
3295;49;0.097%
8034;49;0.097%
1663;48;0.095%
5002;48;0.095%
4341;48;0.095%
16478;48;0.095%
789;48;0.095%
10950;48;0.095%
13477;48;0.095%
11036;48;0.095%
6012;47;0.093%
3241;47;0.093%
17643;47;0.093%
1657;47;0.093%
12577;47;0.093%
10088;46;0.091%
14300;46;0.091%
697;45;0.089%
19173;45;0.089%
12083;45;0.089%
10951;45;0.089%
20894;45;0.089%
16274;45;0.089%
4322;44;0.087%
19165;44;0.087%
1072;44;0.087%
21423;44;0.087%
8463;44;0.087%
467;44;0.087%
12679;44;0.087%
8078;43;0.085%
14217;43;0.085%
15605;43;0.085%
15502;43;0.085%
8731;43;0.085%
22077;43;0.085%
1817;43;0.085%
7360;43;0.085%
3980;43;0.085%
16166;43;0.085%
8169;42;0.083%
8460;42;0.083%
17082;42;0.083%
12115;42;0.083%
19331;42;0.083%
2563;42;0.083%
2691;41;0.081%
4723;41;0.081%
8655;41;0.081%
19381;41;0.081%
12724;41;0.081%
8842;40;0.08%
10503;40;0.08%
630;40;0.08%
12877;40;0.08%
9212;40;0.08%
448;40;0.08%
9046;39;0.078%
620;39;0.078%
3099;39;0.078%
19266;39;0.078%
22380;39;0.078%
12250;39;0.078%
22381;39;0.078%
2872;39;0.078%
3323;39;0.078%
4508;39;0.078%
11241;39;0.078%
9136;39;0.078%
11415;38;0.076%
16201;38;0.076%
10984;38;0.076%
2630;38;0.076%
10047;37;0.074%
7891;37;0.074%
8786;37;0.074%
8789;37;0.074%
9733;37;0.074%
9130;37;0.074%
4186;37;0.074%
19430;36;0.072%
890;36;0.072%
8536;36;0.072%
3040;36;0.072%
9227;36;0.072%
12225;36;0.072%
19504;35;0.07%
10939;35;0.07%
8435;35;0.07%
15740;35;0.07%
16507;35;0.07%
7051;35;0.07%
551;35;0.07%
8425;35;0.07%
13023;35;0.07%
11952;35;0.07%
10669;35;0.07%
16254;34;0.068%
124;34;0.068%
1786;34;0.068%
8878;34;0.068%
22084;34;0.068%
8124;34;0.068%
15686;34;0.068%
10556;34;0.068%
14362;34;0.068%
12786;34;0.068%
19257;34;0.068%
16328;34;0.068%
19396;34;0.068%
16798;34;0.068%
8810;34;0.068%
758;34;0.068%
14794;33;0.066%
3513;33;0.066%
7249;33;0.066%
20901;33;0.066%
15509;33;0.066%
16795;33;0.066%
9131;32;0.064%
4180;32;0.064%
3210;32;0.064%
9422;32;0.064%
15074;32;0.064%
22378;32;0.064%
15667;32;0.064%
21421;32;0.064%
1110;32;0.064%
13563;32;0.064%
8507;32;0.064%
16360;32;0.064%
16038;32;0.064%
21942;32;0.064%
8480;32;0.064%
17329;32;0.064%
9219;32;0.064%
16338;32;0.064%
12039;31;0.062%
4500;31;0.062%
12030;31;0.062%
21947;31;0.062%
22379;31;0.062%
3028;31;0.062%
9826;31;0.062%
13803;30;0.06%
14000;30;0.06%
18140;30;0.06%
12213;30;0.06%
12208;30;0.06%
21567;30;0.06%
21958;30;0.06%
7998;30;0.06%
8372;30;0.06%
8663;30;0.06%
11256;30;0.06%
4201;30;0.06%
21674;30;0.06%
22375;30;0.06%
9096;29;0.058%
3050;29;0.058%
16245;29;0.058%
2962;29;0.058%
20793;29;0.058%
12173;29;0.058%
21904;29;0.058%
10940;29;0.058%
10576;29;0.058%
21383;29;0.058%
16210;29;0.058%
9494;29;0.058%
613;29;0.058%
21534;28;0.056%
10068;28;0.056%
1627;28;0.056%
4512;28;0.056%
9237;28;0.056%
15323;28;0.056%
9135;28;0.056%
12266;28;0.056%
8173;28;0.056%
14327;28;0.056%
11072;28;0.056%
8875;28;0.056%
10662;28;0.056%
2145;28;0.056%
21443;28;0.056%
7082;28;0.056%
7159;28;0.056%
2875;28;0.056%
706;28;0.056%
11429;28;0.056%
19250;27;0.054%
13072;27;0.054%
11075;27;0.054%
693;27;0.054%
16625;27;0.054%
9665;27;0.054%
16349;27;0.054%
19242;27;0.054%
7795;27;0.054%
9716;27;0.054%
8677;27;0.054%
21719;27;0.054%
11085;27;0.054%
4243;27;0.054%
5572;27;0.054%
11141;27;0.054%
15368;27;0.054%
1959;27;0.054%
9998;27;0.054%
9419;26;0.052%
12524;26;0.052%
934;26;0.052%
15512;26;0.052%
11107;26;0.052%
6989;26;0.052%
11394;26;0.052%
7185;26;0.052%
692;26;0.052%
14226;26;0.052%
17682;26;0.052%
21007;26;0.052%
6323;26;0.052%
12134;26;0.052%
22376;26;0.052%
15601;26;0.052%
22370;26;0.052%
19319;26;0.052%
4013;26;0.052%
10462;26;0.052%
15993;26;0.052%
19424;26;0.052%
22361;26;0.052%
19174;26;0.052%
9292;26;0.052%
8521;26;0.052%
9551;26;0.052%
16135;25;0.05%
15336;25;0.05%
1370;25;0.05%
8479;25;0.05%
19259;25;0.05%
19289;25;0.05%
15748;25;0.05%
9134;25;0.05%
15622;25;0.05%
9904;25;0.05%
12049;25;0.05%
4137;25;0.05%
16188;25;0.05%
21726;25;0.05%
22377;25;0.05%
48;25;0.05%
11039;24;0.048%
22374;24;0.048%
2510;24;0.048%
690;24;0.048%
10961;24;0.048%
16933;24;0.048%
2605;24;0.048%
11923;24;0.048%
2739;24;0.048%
11317;24;0.048%
21428;24;0.048%
9203;24;0.048%
328;24;0.048%
12846;24;0.048%
12949;24;0.048%
12020;24;0.048%
20516;24;0.048%
18066;24;0.048%
16142;24;0.048%
1108;24;0.048%
2985;24;0.048%
12855;24;0.048%
13769;24;0.048%
10537;24;0.048%
10983;24;0.048%
9133;24;0.048%
8458;24;0.048%
11069;23;0.046%
12026;23;0.046%
8861;23;0.046%
12040;23;0.046%
3299;23;0.046%
11280;23;0.046%
20361;23;0.046%
11372;23;0.046%
19301;23;0.046%
2162;23;0.046%
4420;23;0.046%
8735;23;0.046%
11379;23;0.046%
4192;23;0.046%
3871;23;0.046%
20650;23;0.046%
16306;23;0.046%
1564;23;0.046%
12788;23;0.046%
13706;23;0.046%
10621;23;0.046%
15077;23;0.046%
12521;23;0.046%
1061;22;0.044%
12055;22;0.044%
13813;22;0.044%
16020;22;0.044%
16240;22;0.044%
21811;22;0.044%
19410;22;0.044%
3192;22;0.044%
18684;22;0.044%
7186;22;0.044%
8768;22;0.044%
734;22;0.044%
9132;22;0.044%
8088;22;0.044%
16029;22;0.044%
7771;22;0.044%
41;22;0.044%
16630;22;0.044%
16088;22;0.044%
13093;22;0.044%
19382;22;0.044%
9204;22;0.044%
16634;22;0.044%
11010;22;0.044%
717;22;0.044%
2359;22;0.044%
21454;22;0.044%
8482;21;0.042%
22372;21;0.042%
12519;21;0.042%
9547;21;0.042%
5017;21;0.042%
14387;21;0.042%
13459;21;0.042%
10971;21;0.042%
2491;21;0.042%
16804;21;0.042%
12518;21;0.042%
17091;21;0.042%
13420;21;0.042%
9368;21;0.042%
1667;21;0.042%
8583;21;0.042%
12515;21;0.042%
11089;21;0.042%
16055;21;0.042%
16037;21;0.042%
12950;21;0.042%
13708;21;0.042%
7695;21;0.042%
9119;21;0.042%
12021;20;0.04%
12516;20;0.04%
16543;20;0.04%
9218;20;0.04%
2995;20;0.04%
1584;20;0.04%
10761;20;0.04%
8749;20;0.04%
12520;20;0.04%
11978;20;0.04%
15393;20;0.04%
15597;20;0.04%
8570;20;0.04%
10536;20;0.04%
20395;20;0.04%
6400;20;0.04%
2189;20;0.04%
15690;20;0.04%
11698;20;0.04%
1087;20;0.04%
2965;20;0.04%
15937;20;0.04%
4240;20;0.04%
10110;20;0.04%
13978;20;0.04%
13748;20;0.04%
8350;20;0.04%
22373;20;0.04%
11860;20;0.04%
22371;20;0.04%
10190;20;0.04%
3933;20;0.04%
15489;20;0.04%
19270;19;0.038%
11369;19;0.038%
16209;19;0.038%
9446;19;0.038%
870;19;0.038%
1121;19;0.038%
12522;19;0.038%
12075;19;0.038%
10437;19;0.038%
10431;19;0.038%
11968;19;0.038%
17542;19;0.038%
4382;19;0.038%
18272;19;0.038%
16602;19;0.038%
10531;19;0.038%
9129;19;0.038%
11352;19;0.038%
15663;19;0.038%
4160;19;0.038%
5319;19;0.038%
1051;19;0.038%
20909;19;0.038%
13980;19;0.038%
9328;19;0.038%
2819;19;0.038%
8418;19;0.038%
729;19;0.038%
21818;19;0.038%
19574;18;0.036%
19309;18;0.036%
16785;18;0.036%
4931;18;0.036%
8896;18;0.036%
1556;18;0.036%
100;18;0.036%
11042;18;0.036%
9230;18;0.036%
8580;18;0.036%
19411;18;0.036%
6332;18;0.036%
12128;18;0.036%
9128;18;0.036%
12284;18;0.036%
15115;18;0.036%
15561;18;0.036%
8467;18;0.036%
20653;18;0.036%
20557;18;0.036%
19402;18;0.036%
8237;18;0.036%
16134;18;0.036%
13510;18;0.036%
11233;18;0.036%
12879;18;0.036%
21655;18;0.036%
4187;18;0.036%
5014;18;0.036%
8426;18;0.036%
12525;18;0.036%
4195;18;0.036%
9905;18;0.036%
21569;18;0.036%
8533;18;0.036%
11097;18;0.036%
16469;18;0.036%
10902;18;0.036%
16729;18;0.036%
12514;18;0.036%
9949;18;0.036%
21965;18;0.036%
19293;18;0.036%
22368;18;0.036%
897;17;0.034%
16225;17;0.034%
21724;17;0.034%
9818;17;0.034%
13497;17;0.034%
2930;17;0.034%
12052;17;0.034%
2407;17;0.034%
12182;17;0.034%
18257;17;0.034%
525;17;0.034%
17616;17;0.034%
452;17;0.034%
16519;17;0.034%
1329;17;0.034%
11633;17;0.034%
12523;17;0.034%
7900;17;0.034%
9514;17;0.034%
7164;17;0.034%
12754;17;0.034%
1694;17;0.034%
22356;17;0.034%
21074;17;0.034%
12557;17;0.034%
9360;17;0.034%
14416;17;0.034%
4276;17;0.034%
6595;17;0.034%
16131;17;0.034%
17662;17;0.034%
21216;17;0.034%
13506;17;0.034%
29;17;0.034%
6928;17;0.034%
19361;17;0.034%
4800;17;0.034%
20911;17;0.034%
17075;17;0.034%
2933;17;0.034%
16616;17;0.034%
18060;17;0.034%
3856;17;0.034%
10036;17;0.034%
12234;17;0.034%
11201;17;0.034%
12926;17;0.034%
12517;17;0.034%
10978;17;0.034%
7894;17;0.034%
4245;17;0.034%
6441;17;0.034%
2817;16;0.032%
8588;16;0.032%
16106;16;0.032%
20839;16;0.032%
639;16;0.032%
11939;16;0.032%
21808;16;0.032%
19595;16;0.032%
9679;16;0.032%
1333;16;0.032%
1768;16;0.032%
4203;16;0.032%
2963;16;0.032%
16408;16;0.032%
16800;16;0.032%
7231;16;0.032%
6717;16;0.032%
1058;16;0.032%
3939;16;0.032%
4128;16;0.032%
22362;16;0.032%
845;16;0.032%
15741;16;0.032%
3219;16;0.032%
9954;16;0.032%
7183;16;0.032%
4277;16;0.032%
4114;16;0.032%
6228;16;0.032%
5084;16;0.032%
9229;16;0.032%
10515;16;0.032%
568;16;0.032%
22367;16;0.032%
3987;16;0.032%
17281;16;0.032%
14201;16;0.032%
19304;16;0.032%
6283;16;0.032%
4028;16;0.032%
17648;16;0.032%
8430;16;0.032%
11041;16;0.032%
4979;16;0.032%
2992;16;0.032%
8436;16;0.032%
1576;16;0.032%
5120;16;0.032%
15788;16;0.032%
4218;16;0.032%
11208;16;0.032%
