relation_name_id;total_amount_of_triples;relative_amount_of_triples
14;13202;26.239%
35;4656;9.254%
16;3710;7.374%
39;3543;7.042%
29;2909;5.782%
34;2050;4.074%
26;1972;3.919%
2;1690;3.359%
19;1565;3.11%
4;1531;3.043%
6;1373;2.729%
7;1241;2.467%
18;1201;2.387%
21;1040;2.067%
3;985;1.958%
33;794;1.578%
40;571;1.135%
17;545;1.083%
0;425;0.845%
9;386;0.767%
5;362;0.719%
22;351;0.698%
11;329;0.654%
31;314;0.624%
1;312;0.62%
13;299;0.594%
8;295;0.586%
27;284;0.564%
37;274;0.545%
36;266;0.529%
10;254;0.505%
12;202;0.401%
42;180;0.358%
30;162;0.322%
41;147;0.292%
38;140;0.278%
28;139;0.276%
23;124;0.246%
15;115;0.229%
20;109;0.217%
25;105;0.209%
24;83;0.165%
32;79;0.157%
total_triples;50314;100%
