entity_id;total_amount_of_triples;relative_amount_of_triples
16821;2082;1.559%
60961;1436;1.075%
30657;1318;0.987%
39738;1199;0.898%
30656;1162;0.87%
30658;1132;0.847%
30655;1027;0.769%
64622;1009;0.755%
62796;969;0.725%
68050;920;0.689%
29120;919;0.688%
30575;880;0.659%
61783;876;0.656%
25634;869;0.651%
71530;869;0.651%
28292;812;0.608%
30574;810;0.606%
61763;768;0.575%
28390;743;0.556%
64924;732;0.548%
10994;717;0.537%
31450;715;0.535%
63572;713;0.534%
30654;708;0.53%
30573;691;0.517%
68622;656;0.491%
34198;640;0.479%
40909;633;0.474%
30572;628;0.47%
13328;599;0.448%
34207;593;0.444%
54282;556;0.416%
56797;547;0.409%
43897;544;0.407%
24057;524;0.392%
52394;524;0.392%
37501;520;0.389%
30570;496;0.371%
71500;495;0.371%
33157;494;0.37%
13651;486;0.364%
68893;468;0.35%
72036;468;0.35%
25439;460;0.344%
23587;453;0.339%
22613;436;0.326%
30576;420;0.314%
61787;396;0.296%
35427;389;0.291%
29378;387;0.29%
74469;380;0.284%
19188;368;0.275%
46443;366;0.274%
52432;352;0.264%
61623;347;0.26%
69875;346;0.259%
7407;344;0.258%
14922;344;0.258%
37547;344;0.258%
29287;332;0.249%
61781;328;0.246%
65161;326;0.244%
61002;325;0.243%
74466;323;0.242%
65166;322;0.241%
28303;310;0.232%
19406;304;0.228%
28318;300;0.225%
29090;290;0.217%
57553;288;0.216%
40146;285;0.213%
27379;284;0.213%
71973;279;0.209%
45806;276;0.207%
7422;275;0.206%
20737;274;0.205%
7410;269;0.201%
57846;267;0.2%
30569;260;0.195%
25354;259;0.194%
64810;259;0.194%
29006;259;0.194%
29397;255;0.191%
63549;252;0.189%
44878;249;0.186%
60963;248;0.186%
54605;245;0.183%
29693;243;0.182%
64704;240;0.18%
64807;237;0.177%
65160;236;0.177%
29294;234;0.175%
54387;229;0.171%
23027;229;0.171%
51509;228;0.171%
34364;228;0.171%
65165;225;0.168%
12743;224;0.168%
74465;223;0.167%
61011;219;0.164%
63234;218;0.163%
72006;212;0.159%
65163;209;0.156%
56903;209;0.156%
64933;208;0.156%
13590;207;0.155%
29392;206;0.154%
6092;204;0.153%
74471;202;0.151%
62823;200;0.15%
13492;200;0.15%
25199;200;0.15%
72372;200;0.15%
5879;196;0.147%
61441;195;0.146%
41139;193;0.144%
64679;193;0.144%
28239;192;0.144%
33879;192;0.144%
40981;191;0.143%
25955;190;0.142%
26008;188;0.141%
33998;188;0.141%
11135;187;0.14%
28430;183;0.137%
63044;182;0.136%
69318;181;0.135%
64708;179;0.134%
64968;179;0.134%
54384;178;0.133%
7372;177;0.133%
70236;177;0.133%
26811;176;0.132%
63043;176;0.132%
24414;176;0.132%
7386;173;0.13%
13076;172;0.129%
67310;172;0.129%
74464;172;0.129%
29069;171;0.128%
29396;171;0.128%
41126;168;0.126%
29972;167;0.125%
32681;166;0.124%
64814;166;0.124%
9424;163;0.122%
56809;161;0.121%
30568;157;0.118%
64772;156;0.117%
44635;156;0.117%
6714;155;0.116%
64857;154;0.115%
61742;154;0.115%
11810;153;0.115%
61019;152;0.114%
34011;151;0.113%
68565;151;0.113%
21167;148;0.111%
25859;147;0.11%
13124;143;0.107%
25876;142;0.106%
54951;142;0.106%
26009;141;0.106%
58435;141;0.106%
68230;140;0.105%
58366;140;0.105%
72106;139;0.104%
62127;139;0.104%
74463;139;0.104%
62828;138;0.103%
54399;138;0.103%
11834;136;0.102%
29027;135;0.101%
33726;135;0.101%
64634;135;0.101%
56779;135;0.101%
21183;134;0.1%
40954;132;0.099%
54378;131;0.098%
54681;130;0.097%
40976;130;0.097%
24887;130;0.097%
14720;129;0.097%
64842;128;0.096%
56968;127;0.095%
29139;126;0.094%
20870;126;0.094%
40055;125;0.094%
63235;123;0.092%
21735;122;0.091%
14529;122;0.091%
67358;121;0.091%
61790;121;0.091%
11813;121;0.091%
29383;120;0.09%
57372;120;0.09%
6159;119;0.089%
19408;118;0.088%
37427;118;0.088%
56540;117;0.088%
62273;117;0.088%
34822;117;0.088%
41086;116;0.087%
6837;116;0.087%
30028;115;0.086%
74462;115;0.086%
64777;114;0.085%
54727;113;0.085%
8247;113;0.085%
30317;113;0.085%
72044;112;0.084%
27764;112;0.084%
64635;112;0.084%
8443;111;0.083%
55419;110;0.082%
63032;110;0.082%
62603;110;0.082%
35402;109;0.082%
8286;109;0.082%
68388;109;0.082%
62258;108;0.081%
54393;106;0.079%
62125;106;0.079%
33142;105;0.079%
5615;105;0.079%
57280;105;0.079%
61946;105;0.079%
32693;105;0.079%
5941;104;0.078%
6863;103;0.077%
44849;102;0.076%
13469;102;0.076%
26094;101;0.076%
72088;101;0.076%
43642;101;0.076%
30999;100;0.075%
24864;100;0.075%
58643;99;0.074%
29144;99;0.074%
35260;98;0.073%
64759;98;0.073%
29179;97;0.073%
61282;97;0.073%
20819;97;0.073%
25251;96;0.072%
11152;96;0.072%
26018;96;0.072%
61401;96;0.072%
62183;95;0.071%
22046;95;0.071%
13776;94;0.07%
63034;93;0.07%
62826;93;0.07%
20867;93;0.07%
6097;93;0.07%
