entity_id;total_amount_of_triples;relative_amount_of_triples
19182;961;0.679%
19976;924;0.653%
27779;760;0.537%
18538;689;0.487%
26017;579;0.409%
19039;562;0.397%
39081;553;0.391%
37845;516;0.365%
512;496;0.351%
26018;474;0.335%
27822;473;0.334%
15521;461;0.326%
26011;442;0.312%
26000;431;0.305%
38563;425;0.3%
38038;398;0.281%
30443;385;0.272%
40796;372;0.263%
26016;344;0.243%
26951;333;0.235%
38547;301;0.213%
19276;294;0.208%
34477;288;0.204%
20510;287;0.203%
19383;285;0.201%
40782;282;0.199%
18290;255;0.18%
39066;243;0.172%
14322;231;0.163%
21407;221;0.156%
24114;215;0.152%
14001;208;0.147%
14051;205;0.145%
18918;203;0.144%
505;194;0.137%
30432;191;0.135%
40077;186;0.132%
38982;178;0.126%
361;177;0.125%
22038;162;0.115%
16109;160;0.113%
14006;158;0.112%
36945;158;0.112%
28643;154;0.109%
10961;151;0.107%
26015;151;0.107%
3947;149;0.105%
27320;147;0.104%
40633;146;0.103%
13886;145;0.103%
3690;144;0.102%
37277;142;0.1%
26020;140;0.099%
25952;140;0.099%
19478;139;0.098%
13937;137;0.097%
20891;136;0.096%
30540;135;0.095%
18246;135;0.095%
26004;135;0.095%
19690;132;0.093%
18794;130;0.092%
26001;129;0.091%
33959;129;0.091%
19550;128;0.09%
18324;125;0.088%
7801;124;0.088%
7204;124;0.088%
15930;121;0.086%
26019;121;0.086%
20146;117;0.083%
20936;116;0.082%
441;116;0.082%
8942;116;0.082%
21204;114;0.081%
12037;114;0.081%
15822;112;0.079%
5206;110;0.078%
14914;109;0.077%
27486;109;0.077%
25028;107;0.076%
19204;107;0.076%
39056;107;0.076%
31266;106;0.075%
26798;106;0.075%
21389;105;0.074%
32012;105;0.074%
26012;104;0.074%
5594;103;0.073%
34514;103;0.073%
21120;101;0.071%
35630;101;0.071%
19417;100;0.071%
13938;99;0.07%
29739;98;0.069%
40213;97;0.069%
17942;97;0.069%
19811;97;0.069%
338;95;0.067%
17683;95;0.067%
26214;94;0.066%
35576;94;0.066%
13748;93;0.066%
25997;93;0.066%
24593;93;0.066%
7567;93;0.066%
36564;92;0.065%
28433;92;0.065%
20972;91;0.064%
19747;90;0.064%
13752;89;0.063%
33208;89;0.063%
24071;89;0.063%
24033;88;0.062%
31197;88;0.062%
20039;87;0.062%
19485;87;0.062%
22797;86;0.061%
29140;86;0.061%
26418;85;0.06%
30429;85;0.06%
30036;84;0.059%
3957;84;0.059%
5215;84;0.059%
39861;83;0.059%
40073;82;0.058%
33293;82;0.058%
7074;81;0.057%
20431;81;0.057%
2626;81;0.057%
15522;81;0.057%
12143;81;0.057%
30438;80;0.057%
30445;80;0.057%
19488;80;0.057%
24443;79;0.056%
15197;79;0.056%
5224;79;0.056%
24303;78;0.055%
20115;78;0.055%
35729;78;0.055%
17405;77;0.054%
7477;77;0.054%
8053;77;0.054%
26215;76;0.054%
25985;75;0.053%
2002;75;0.053%
35895;75;0.053%
9635;74;0.052%
38277;74;0.052%
21295;73;0.052%
24461;73;0.052%
3;73;0.052%
39172;72;0.051%
12471;72;0.051%
26008;72;0.051%
19217;72;0.051%
8420;72;0.051%
12313;72;0.051%
20543;71;0.05%
16430;71;0.05%
39789;71;0.05%
10709;69;0.049%
10162;68;0.048%
24760;68;0.048%
26010;68;0.048%
39050;68;0.048%
21767;66;0.047%
27892;66;0.047%
26519;66;0.047%
14604;66;0.047%
23096;66;0.047%
19482;66;0.047%
20782;66;0.047%
13976;65;0.046%
39356;65;0.046%
37904;65;0.046%
14479;65;0.046%
30539;65;0.046%
26313;64;0.045%
31279;64;0.045%
9752;64;0.045%
21717;64;0.045%
