entity_id;total_amount_of_triples;relative_amount_of_triples
24458;61044;5.657%
14888;12416;1.151%
24238;5119;0.474%
14864;1884;0.175%
86682;1734;0.161%
24703;1660;0.154%
52780;1644;0.152%
101548;1438;0.133%
26665;1368;0.127%
86917;1363;0.126%
47792;1285;0.119%
89570;1215;0.113%
56716;1196;0.111%
24763;1179;0.109%
65996;1162;0.108%
89562;1157;0.107%
47799;1152;0.107%
1276;1145;0.106%
26856;1137;0.105%
3580;1119;0.104%
122526;1093;0.101%
67804;1079;0.1%
104857;1073;0.099%
107040;1054;0.098%
24735;1046;0.097%
37337;1033;0.096%
21423;1030;0.095%
101658;1027;0.095%
84641;1025;0.095%
19808;1020;0.095%
111356;1018;0.094%
28264;1015;0.094%
1278;1015;0.094%
5772;1013;0.094%
6408;1011;0.094%
13296;1009;0.094%
111526;1006;0.093%
68787;1004;0.093%
42393;1000;0.093%
84733;997;0.092%
37899;994;0.092%
31318;990;0.092%
112843;981;0.091%
111442;973;0.09%
49204;970;0.09%
33589;970;0.09%
86396;970;0.09%
30791;957;0.089%
111797;955;0.089%
26847;951;0.088%
103545;927;0.086%
114060;923;0.086%
19778;922;0.085%
103505;916;0.085%
68027;916;0.085%
96841;914;0.085%
57253;912;0.085%
54409;908;0.084%
5756;904;0.084%
104343;902;0.084%
100423;900;0.083%
6840;897;0.083%
103540;896;0.083%
103363;895;0.083%
19331;893;0.083%
104792;889;0.082%
27663;882;0.082%
6281;881;0.082%
13215;880;0.082%
33453;880;0.082%
28619;875;0.081%
22507;872;0.081%
44205;871;0.081%
29052;871;0.081%
111018;862;0.08%
86035;860;0.08%
31072;858;0.08%
111122;856;0.079%
32190;853;0.079%
14917;850;0.079%
95937;847;0.078%
56723;845;0.078%
52795;842;0.078%
18735;841;0.078%
28503;838;0.078%
29989;830;0.077%
77939;818;0.076%
88159;817;0.076%
32497;816;0.076%
66193;811;0.075%
119925;804;0.075%
33716;801;0.074%
3606;796;0.074%
29956;796;0.074%
109820;789;0.073%
49559;788;0.073%
85607;788;0.073%
89783;782;0.072%
61336;781;0.072%
29059;768;0.071%
114577;765;0.071%
45031;761;0.071%
31494;757;0.07%
35746;755;0.07%
117552;755;0.07%
29001;752;0.07%
68792;745;0.069%
68220;745;0.069%
56721;742;0.069%
33732;733;0.068%
106147;730;0.068%
30919;729;0.068%
101294;726;0.067%
39916;725;0.067%
64785;723;0.067%
118813;722;0.067%
45029;721;0.067%
49572;719;0.067%
107072;716;0.066%
37606;714;0.066%
13172;713;0.066%
49409;707;0.066%
6787;705;0.065%
114721;705;0.065%
51884;704;0.065%
65008;701;0.065%
44523;700;0.065%
55813;696;0.065%
50079;695;0.064%
3738;692;0.064%
3930;691;0.064%
1662;691;0.064%
16775;690;0.064%
54967;688;0.064%
36086;687;0.064%
37885;684;0.063%
107141;682;0.063%
65078;682;0.063%
111128;681;0.063%
62783;679;0.063%
27433;678;0.063%
3910;673;0.062%
60696;673;0.062%
7120;667;0.062%
122776;667;0.062%
20269;666;0.062%
35951;666;0.062%
14531;662;0.061%
63973;659;0.061%
114604;659;0.061%
61491;657;0.061%
49277;655;0.061%
36067;654;0.061%
27634;651;0.06%
13443;650;0.06%
30525;650;0.06%
50559;649;0.06%
46674;647;0.06%
2961;644;0.06%
121942;643;0.06%
21585;641;0.059%
14310;633;0.059%
30967;632;0.059%
68799;631;0.058%
36245;630;0.058%
122532;626;0.058%
3742;623;0.058%
71118;623;0.058%
112987;621;0.058%
115230;616;0.057%
22721;615;0.057%
50129;615;0.057%
60101;613;0.057%
14526;610;0.057%
3912;610;0.057%
64918;608;0.056%
119940;608;0.056%
27958;608;0.056%
123077;608;0.056%
3750;607;0.056%
118260;605;0.056%
27961;602;0.056%
33940;595;0.055%
116434;592;0.055%
4357;591;0.055%
101300;589;0.055%
36069;586;0.054%
50195;583;0.054%
106326;579;0.054%
113191;576;0.053%
63682;572;0.053%
111767;572;0.053%
28033;572;0.053%
119960;570;0.053%
88575;568;0.053%
22250;560;0.052%
49695;560;0.052%
27652;558;0.052%
54666;558;0.052%
49042;557;0.052%
52418;557;0.052%
38745;556;0.052%
107172;555;0.051%
49760;554;0.051%
113039;554;0.051%
