relation_name_id;total_amount_of_triples;relative_amount_of_triples
14;373783;34.64%
27;321024;29.751%
20;88672;8.218%
5;66163;6.132%
28;44978;4.168%
0;32155;2.98%
16;32055;2.971%
10;24068;2.231%
13;10710;0.993%
23;9248;0.857%
6;7754;0.719%
34;7348;0.681%
1;6933;0.643%
30;6047;0.56%
31;5481;0.508%
26;5150;0.477%
3;5064;0.469%
35;5056;0.469%
21;3757;0.348%
15;3455;0.32%
29;3389;0.314%
32;3083;0.286%
24;2980;0.276%
2;2566;0.238%
22;2163;0.2%
12;1302;0.121%
19;957;0.089%
36;914;0.085%
25;726;0.067%
7;555;0.051%
11;393;0.036%
33;378;0.035%
8;298;0.028%
17;239;0.022%
4;109;0.01%
9;68;0.006%
18;19;0.002%
total_triples;1079040;100%
