original_kg;sampling_method;relation_names_rho;directory;sampling_time;subgraph_size_range;subgraph_size_rel;subgraph_num;subgraph_triples_amount;triples_deviation;subgraph_entities_amount;entities_per_step;subgraph_relation_names_amount;subgraph_relation_names
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_000;18.828;(0.1, 0.7);0.7;0;60786;1;32737;1;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_001;14.047;(0.1, 0.7);0.7;1;60787;2;32744;1;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_002;14.240;(0.1, 0.7);0.7;2;60793;8;32544;1;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_003;14.393;(0.1, 0.7);0.7;3;60786;1;32693;1;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_004;14.695;(0.1, 0.7);0.7;4;60785;0;32817;1;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_005;14.447;(0.1, 0.7);0.7;5;60796;11;32540;1;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_006;14.682;(0.1, 0.7);0.7;6;60785;0;32810;1;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_007;15.616;(0.1, 0.7);0.7;7;60794;9;32612;1;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_008;17.184;(0.1, 0.7);0.7;8;60785;0;32547;1;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_009;14.856;(0.1, 0.7);0.7;9;61014;229;32727;1;11;[]
