original_kg;sampling_method;relation_names_rho;directory;sampling_time;subgraph_size_range;subgraph_size_rel;subgraph_num;subgraph_triples_amount;subgraph_entities_amount;subgraph_relation_names_amount;subgraph_relation_names
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.6\sub_000;9.676;(0.6, 0.7);0.7;0;60806;34902;11;[1, 4, 3, 5, 0, 6, 10, 8, 7, 2, 9]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.6\sub_001;9.83;(0.6, 0.7);0.7;1;60786;34909;11;[4, 1, 6, 8, 3, 7, 10, 5, 0, 2, 9]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.6\sub_002;9.938;(0.6, 0.7);0.7;2;60787;34899;11;[6, 4, 1, 5, 3, 10, 0, 7, 2, 8, 9]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.6\sub_003;9.98;(0.6, 0.7);0.7;3;60786;35028;11;[7, 8, 6, 4, 1, 3, 5, 10, 2, 0, 9]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.6\sub_004;10.06;(0.6, 0.7);0.7;4;60785;34938;11;[4, 1, 2, 10, 3, 0, 6, 5, 8, 7, 9]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.6\sub_005;10.409;(0.6, 0.7);0.7;5;60785;35156;11;[0, 1, 3, 5, 4, 6, 10, 2, 7, 8, 9]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.6\sub_006;10.852;(0.6, 0.7);0.7;6;60786;34988;11;[4, 1, 6, 10, 2, 5, 3, 7, 0, 9, 8]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.6\sub_007;10.361;(0.6, 0.7);0.7;7;60787;35123;11;[5, 4, 3, 6, 1, 10, 0, 7, 2, 8, 9]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.6\sub_008;10.748;(0.6, 0.7);0.7;8;60788;34972;11;[5, 3, 1, 4, 10, 6, 8, 0, 2, 7, 9]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.6\sub_009;10.555;(0.6, 0.7);0.7;9;60786;35016;11;[1, 4, 5, 3, 8, 10, 0, 6, 2, 7, 9]
