epoch;sub_000;sub_001;sub_002;sub_003
0;11.34653212;11.33507527;11.35386408;11.40973243
1;10.3165684;10.26254598;10.29072296;10.35452589
2;9.771922453;9.697449342;9.718361072;9.776731395
3;9.303535427;9.225401092;9.241892823;9.293527666
4;8.816973914;8.752534752;8.767419498;8.817835522
5;8.300948086;8.268893565;8.27590043;8.324826111
6;7.784852402;7.78382511;7.789662027;7.823490737
7;7.307098862;7.319918812;7.334192991;7.345285337
8;6.890920778;6.899963289;6.926845834;6.919640787
9;6.539229804;6.536483177;6.573783955;6.558685761
10;6.244736087;6.229433599;6.274586346;6.259058589
11;5.997763732;5.972490126;6.022431049;6.010969754
12;5.789270397;5.758111539;5.810730189;5.805664178
13;5.612856294;5.578747165;5.631673688;5.63308725
14;5.46279217;5.427476325;5.480211529;5.48765164
15;5.334550264;5.299839132;5.350574255;5.363643682
16;5.224599381;5.191125684;5.240146218;5.25749014
17;5.12965013;5.097806054;5.144348097;5.16543497
18;5.047482644;5.017400011;5.061747047;5.085393148
19;4.976242026;4.947693004;4.989776379;5.015032065
20;4.913503463;4.886628063;4.9264952;4.953252749
21;4.858422331;4.832397076;4.871061561;4.89815739
22;4.809489632;4.785110265;4.821785628;4.848900322
23;4.765880208;4.742563216;4.778157163;4.804966861
24;4.726887818;4.704476108;4.739082099;4.765389274
25;4.692185156;4.670255462;4.704069975;4.729241801
26;4.660185873;4.639210917;4.671950012;4.696484246
27;4.631303843;4.610914576;4.643185599;4.666428137
28;4.605152504;4.585095088;4.616980685;4.63901653
29;4.581077134;4.561642264;4.592687182;4.613726807
