original_kg;sampling_method;relation_names_rho;directory;sampling_time;subgraph_size_range;subgraph_size_rel;subgraph_num;subgraph_triples_amount;subgraph_entities_amount;subgraph_relation_names_amount;subgraph_relation_names
YAGO3-10;Entity sampling;37;data\YAGO3-10_Entity_sampling_N10_min0.6\sub_000;643.529;(0.6, 0.7);0.7;0;755329;119295;37;[27, 5, 3, 21, 14, 20, 28, 35, 24, 0, 1, 32, 31, 30, 34, 16, 13, 23, 7, 11, 26, 12, 2, 15, 33, 6, 10, 17, 29, 36, 22, 25, 9, 19, 8, 4, 18]
YAGO3-10;Entity sampling;37;data\YAGO3-10_Entity_sampling_N10_min0.6\sub_001;693.98;(0.6, 0.7);0.7;1;755494;119058;37;[20, 27, 14, 5, 28, 16, 2, 23, 0, 24, 21, 10, 34, 29, 13, 17, 1, 31, 30, 32, 15, 35, 26, 36, 19, 3, 6, 22, 25, 4, 8, 33, 12, 11, 7, 9, 18]
YAGO3-10;Entity sampling;37;data\YAGO3-10_Entity_sampling_N10_min0.6\sub_002;763.536;(0.6, 0.7);0.7;2;755344;118443;37;[14, 5, 0, 28, 10, 27, 35, 20, 26, 15, 2, 23, 1, 21, 19, 13, 34, 30, 16, 3, 29, 31, 32, 22, 24, 6, 36, 17, 25, 12, 8, 33, 11, 4, 7, 9, 18]
YAGO3-10;Entity sampling;37;data\YAGO3-10_Entity_sampling_N10_min0.6\sub_003;627.618;(0.6, 0.7);0.7;3;755340;119807;37;[20, 27, 14, 28, 5, 0, 21, 10, 34, 23, 30, 13, 32, 1, 31, 3, 16, 29, 24, 19, 22, 2, 6, 36, 15, 35, 26, 4, 8, 25, 12, 9, 7, 33, 18, 17, 11]
YAGO3-10;Entity sampling;37;data\YAGO3-10_Entity_sampling_N10_min0.6\sub_004;634.902;(0.6, 0.7);0.7;4;755329;118845;37;[14, 27, 5, 20, 23, 2, 28, 30, 6, 22, 10, 0, 31, 16, 3, 21, 26, 35, 32, 24, 1, 34, 29, 15, 13, 9, 36, 25, 17, 12, 7, 11, 8, 33, 19, 4, 18]
YAGO3-10;Entity sampling;37;data\YAGO3-10_Entity_sampling_N10_min0.6\sub_005;666.152;(0.6, 0.7);0.7;5;755330;118813;37;[23, 20, 28, 5, 14, 27, 22, 34, 3, 21, 0, 31, 30, 32, 1, 19, 15, 13, 10, 16, 29, 2, 6, 35, 26, 24, 25, 8, 36, 7, 12, 11, 33, 9, 17, 18, 4]
YAGO3-10;Entity sampling;37;data\YAGO3-10_Entity_sampling_N10_min0.6\sub_006;728.203;(0.6, 0.7);0.7;6;755333;117876;37;[6, 5, 20, 27, 28, 14, 0, 10, 21, 23, 35, 22, 3, 34, 16, 31, 30, 32, 1, 13, 29, 15, 24, 2, 36, 26, 19, 33, 12, 11, 25, 17, 8, 7, 4, 18, 9]
YAGO3-10;Entity sampling;37;data\YAGO3-10_Entity_sampling_N10_min0.6\sub_007;716.387;(0.6, 0.7);0.7;7;755338;118721;37;[20, 14, 2, 36, 24, 34, 5, 15, 28, 23, 27, 0, 10, 16, 1, 30, 31, 32, 25, 35, 26, 4, 22, 6, 13, 17, 3, 21, 29, 19, 12, 8, 7, 11, 33, 9, 18]
YAGO3-10;Entity sampling;37;data\YAGO3-10_Entity_sampling_N10_min0.6\sub_008;691.769;(0.6, 0.7);0.7;8;755386;119390;37;[27, 14, 5, 28, 23, 31, 20, 10, 22, 19, 3, 13, 0, 1, 30, 29, 34, 36, 24, 15, 16, 2, 26, 35, 21, 32, 6, 25, 17, 4, 12, 11, 33, 8, 7, 18, 9]
YAGO3-10;Entity sampling;37;data\YAGO3-10_Entity_sampling_N10_min0.6\sub_009;723.257;(0.6, 0.7);0.7;9;755416;119121;37;[27, 14, 5, 28, 20, 0, 1, 31, 10, 29, 34, 36, 13, 17, 23, 30, 3, 24, 32, 2, 21, 16, 19, 22, 26, 35, 15, 6, 12, 7, 33, 8, 11, 25, 9, 18, 4]
