original_kg;sampling_method;relation_names_rho;directory;sampling_time;subgraph_size_range;subgraph_size_rel;subgraph_num;subgraph_triples_amount;subgraph_entities_amount;subgraph_relation_names_amount;subgraph_relation_names
YAGO3-10;Entity sampling;37;data\YAGO3-10_Entity_sampling_N10_min0.6\sub_000;158.346;(0.6, 0.7);0.7;0;755429;119030;37;[20, 27, 14, 31, 0, 5, 1, 28, 21, 23, 26, 32, 30, 6, 25, 35, 10, 3, 22, 24, 19, 15, 34, 2, 13, 29, 12, 33, 8, 4, 36, 16, 7, 11, 17, 18, 9]
YAGO3-10;Entity sampling;37;data\YAGO3-10_Entity_sampling_N10_min0.6\sub_001;162.817;(0.6, 0.7);0.7;1;755334;119849;37;[20, 16, 25, 5, 28, 0, 27, 14, 21, 23, 2, 30, 1, 3, 10, 34, 13, 31, 26, 35, 24, 6, 22, 19, 32, 15, 29, 17, 36, 8, 4, 33, 11, 12, 7, 18, 9]
YAGO3-10;Entity sampling;37;data\YAGO3-10_Entity_sampling_N10_min0.6\sub_002;191.002;(0.6, 0.7);0.7;2;755334;118705;37;[23, 15, 36, 10, 28, 34, 5, 24, 20, 14, 27, 26, 22, 2, 0, 31, 1, 3, 19, 6, 32, 30, 21, 13, 29, 9, 16, 25, 35, 11, 7, 33, 12, 4, 17, 8, 18]
YAGO3-10;Entity sampling;37;data\YAGO3-10_Entity_sampling_N10_min0.6\sub_003;190.6;(0.6, 0.7);0.7;3;755371;117607;37;[20, 19, 27, 14, 28, 23, 0, 5, 30, 31, 10, 34, 32, 6, 1, 2, 35, 3, 21, 13, 7, 12, 22, 26, 11, 33, 8, 25, 24, 15, 17, 29, 36, 16, 9, 18, 4]
YAGO3-10;Entity sampling;37;data\YAGO3-10_Entity_sampling_N10_min0.6\sub_004;190.708;(0.6, 0.7);0.7;4;755377;118799;37;[0, 21, 5, 34, 14, 27, 29, 20, 28, 3, 22, 24, 2, 1, 30, 31, 6, 10, 16, 32, 23, 19, 15, 9, 36, 13, 25, 35, 26, 17, 4, 7, 12, 8, 11, 33, 18]
YAGO3-10;Entity sampling;37;data\YAGO3-10_Entity_sampling_N10_min0.6\sub_005;193.591;(0.6, 0.7);0.7;5;755339;118339;37;[20, 0, 30, 31, 1, 32, 27, 14, 5, 28, 13, 15, 23, 10, 2, 19, 26, 24, 34, 35, 3, 21, 29, 22, 16, 6, 12, 11, 33, 8, 36, 4, 25, 9, 7, 17, 18]
YAGO3-10;Entity sampling;37;data\YAGO3-10_Entity_sampling_N10_min0.6\sub_006;192.979;(0.6, 0.7);0.7;6;755652;119213;37;[26, 35, 20, 24, 0, 5, 27, 14, 28, 31, 1, 19, 10, 23, 21, 2, 13, 17, 3, 30, 32, 22, 34, 6, 29, 15, 36, 25, 16, 12, 4, 7, 18, 33, 11, 8, 9]
YAGO3-10;Entity sampling;37;data\YAGO3-10_Entity_sampling_N10_min0.6\sub_007;197.678;(0.6, 0.7);0.7;7;755337;117862;37;[5, 30, 1, 10, 23, 31, 20, 0, 27, 14, 19, 28, 13, 34, 2, 24, 29, 36, 32, 22, 16, 25, 21, 6, 15, 3, 35, 26, 8, 4, 17, 7, 11, 33, 12, 9, 18]
YAGO3-10;Entity sampling;37;data\YAGO3-10_Entity_sampling_N10_min0.6\sub_008;193.399;(0.6, 0.7);0.7;8;755362;117998;37;[14, 27, 5, 28, 20, 30, 0, 32, 31, 10, 23, 3, 13, 2, 1, 24, 7, 26, 35, 36, 34, 29, 15, 11, 33, 16, 12, 21, 19, 22, 25, 17, 6, 8, 9, 4, 18]
YAGO3-10;Entity sampling;37;data\YAGO3-10_Entity_sampling_N10_min0.6\sub_009;196.273;(0.6, 0.7);0.7;9;755334;118388;37;[10, 20, 27, 5, 3, 28, 22, 14, 2, 26, 15, 35, 12, 24, 1, 8, 4, 23, 31, 13, 16, 0, 30, 29, 34, 36, 19, 21, 32, 6, 17, 11, 33, 25, 7, 9, 18]
